shift,delta,n_cell,is_observed
148970,0.0009428059336458868,219,False
49113,-0.00022134509058433866,240,False
31431,-0.0008239474983574752,189,False
147377,0.0005822003620869723,229,False
98216,0.0018365284802589735,202,False
45060,-0.00010966452492641005,161,False
96211,0.0006001037061620706,195,False
79703,0.0010827664340954408,181,False
140055,0.0008675656760512596,213,False
39658,0.0005701269466698534,185,False
153325,0.0006230390444682307,210,False
144771,0.001116792777796736,213,False
28025,7.934587206562586e-05,236,False
25537,0.0005433758274062767,201,False
82501,-0.00022952523065686734,196,False
7037,0.001528758610629135,198,False
46278,-0.0005854291298653745,205,False
67345,0.0011426388107307404,185,False
149923,0.0015749723792945474,216,False
153478,0.0011957917717440574,256,False
23518,-9.040817049734978e-05,167,False
137914,0.0003944211698968061,210,False
14150,0.0003039766770544989,169,False
115801,0.00011655915862882968,186,False
130799,0.00026563454906663867,240,False
137777,0.0008383288843832275,198,False
34627,0.00034443865418965554,166,False
138188,0.0011859050347748307,240,False
18022,-0.00013163037827344023,212,False
80291,0.00022832203495862886,172,False
72669,-0.000419537327122755,160,False
48926,-1.6756335301386083e-05,253,False
3513,0.0008120501074741239,213,False
119419,0.0009361954992468125,229,False
51964,-0.0007622819594532091,162,False
102363,0.000866791863797644,151,False
63500,-0.0004201861966865217,168,False
57848,-7.3394228307117436e-06,211,False
137082,0.00038716888755057645,237,False
14696,0.00013539544169110216,217,False
113948,-4.7381405538813345e-05,196,False
115520,-0.00028543407348853426,214,False
58827,0.0011771683178805462,232,False
40662,0.00031450919118903935,169,False
916,0.0012979759945209617,275,False
144890,0.0005534603960935506,188,False
146578,0.001289968354664016,259,False
37340,0.00023504752952484953,200,False
5028,0.000569804760957681,198,False
19069,-0.00048570591536058996,171,False
10550,0.0007359462948402615,202,False
128553,0.00016838512817063592,220,False
137950,0.0006062860787459209,208,False
23787,-0.000363859878464273,189,False
115512,-0.0002973844343203242,201,False
27803,0.0007197060354110858,225,False
56852,-0.000551072359020236,212,False
92737,6.032749988756411e-06,218,False
111368,0.0005617433130983292,204,False
135269,0.0012776605516202997,208,False
7017,0.0010325598579071374,199,False
30457,-0.00016892695970882165,173,False
43451,0.0008063701031599947,172,False
48059,-0.0003290939516103732,221,False
154352,0.001245386228909549,246,False
120252,0.0005980157442112589,205,False
49620,-0.0003511856500878892,193,False
150302,0.0013902386766364973,242,False
77269,0.0007468581478728382,222,False
77491,0.0009083052700695596,193,False
67128,-0.0003905542997103865,189,False
22336,0.0003523998749735538,205,False
144513,0.0013868226193762185,205,False
2250,0.0009634726343527021,246,False
27032,0.0006560767262825779,220,False
35591,0.00012485981245622383,212,False
43264,-0.00023620522316363053,160,False
20470,0.00011749519533262983,180,False
2872,0.001128488336952966,234,False
104835,0.0005862271974805205,177,False
149913,0.0017747394553208598,206,False
18926,-0.00045850948905876393,168,False
45928,5.867105666574301e-06,182,False
78354,0.001512594022937595,184,False
143451,0.0007259812367873962,199,False
107401,0.0006171860629829632,219,False
118518,0.0009593533796510922,231,False
89913,-0.0002475498229658847,221,False
64553,0.0007775447941479492,212,False
30973,-0.00020651436396340868,198,False
133685,0.00011049003122713387,242,False
124382,0.0009828991150580661,188,False
3975,0.0009091436223501181,221,False
110670,0.0007536379806549568,216,False
13139,0.0004420683927422597,229,False
114314,0.0002413067523420376,232,False
127756,0.0005998849386666191,266,False
20352,0.00014955216223542318,179,False
67150,0.00033463009587583357,179,False
19223,-3.0454984029984182e-05,198,False
87775,0.0003570960193746915,162,False
143460,0.0009670457942641122,208,False
12595,0.0017695357022462907,171,False
61546,-0.0004292532294457274,164,False
150502,0.0010512879246566108,252,False
46610,-0.00010599248427003467,224,False
20531,0.0006173268682194143,201,False
75612,-0.0001877995854524722,217,False
78670,0.000985225983341362,214,False
102548,0.001839596827341671,167,False
48587,-0.00013393607887836868,195,False
147798,0.00030096370785528796,206,False
80625,-0.0009579026243451637,228,False
44369,-0.0009834444070556207,151,False
148518,0.00016642297593233318,232,False
143035,0.0008954300077557677,216,False
77247,0.0007495419353561226,224,False
3938,0.0012113069451159663,215,False
92359,-0.00045680036224519753,205,False
85907,-0.0011993361047514578,283,False
23003,2.5170100057107542e-06,204,False
98083,0.001713201215449422,215,False
130049,0.0008590302791452075,252,False
16463,0.00010432259459251747,201,False
