term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
const,0.05815833931699568,0.0036176095068827224,16.07645579390089,3.731238861499594e-58,0.051067954973375844,0.06524872366061553,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
abs_market_return,0.31746615246779636,0.06557626961314378,4.841174320232529,1.2907408093139643e-06,0.18893902578554622,0.4459932791500465,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return_sq,-0.22966312498272123,0.21504601785643435,-1.0679719962824206,0.2855331439929245,-0.6511455750000898,0.19181932503464744,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return,0.04998073541398823,0.031323914666189716,1.5956094870842004,0.11057600807601299,-0.011413009186549604,0.11137448001452607,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
abs_market_return,1.114099368134714,0.06529848492165445,17.061641927395677,2.863910633341767e-65,0.9861166894432395,1.2420820468261886,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return_sq,-2.0607341178652336,0.36118531004218785,-5.70547599963169,1.16018405125441e-08,-2.7686443172928548,-1.3528239184376125,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
const,0.004574343642557193,0.0034571077341975266,1.3231706947712472,0.18577861917216698,-0.0022014630071448297,0.011350150292259217,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return,0.8600831609230228,0.038170783454591746,22.532499547623495,1.993820067280638e-112,0.7852698000903456,0.9348965217557,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return_sq,0.14836835030504464,0.2816118546537414,0.5268540647462174,0.5982949350078131,-0.40358074243581693,0.7003174430459063,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
market_return_cu,-3.076670269803321,0.9404998948664121,-3.271313783868449,0.0010704906193108835,-4.920016191205196,-1.2333243484014462,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out
